value_eth,is_new_recipient,interaction_count,gas_gwei,blacklist_hit,repeat_tx,label,txhash,blockNumber,from,to
135.92,0,0,21.0,0,0,0,0xca7968aadbcab81e8e9a08c392fc811196abdc0b2b0bb6dd304962d2b469df11,4247694,0x9ff5e4d35b5f8d68606159eb3f66a000fe816101,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
1.28802556,1,0,20.0,0,0,0,0x9998226504b846ff79ba909ecd947ba4beac934e75bb3184f0bd4080ce23b31a,4244230,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xf60d51d0bf6e0e3b8229f8a2f3a46a4db41fc304
3.08986058,1,0,37.101584567,0,0,0,0x643d3c9cd319e9ce3f5883c478d513de76afae2c746469d61ea22dd42f5f4633,4243593,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xfedc0519ca31eebaffbeac0b889301351d47aa7b
0.41893599,1,0,44.092332086,0,0,0,0xb9eab3ea0446bbf11e29cc744668db09a7d06cdc8e605d08db8d45f4269639c4,4243527,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x35b4f27ada7450f3ff927f6eac69ebbf7881fc3d
0.062932,1,0,44.104297439,0,0,0,0xd93b495ee121111db2a2c9af041e5eae8d9a446615d90b60fa5c529c8b7d8ead,4243449,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xb5e8d7f5f6de25059c12a509fd3c8836ab908c10
13.117864,1,0,20.0,0,0,0,0xbb42a121125fd517074c9beae65e781ed670a021faea07c8c90a891cb6b538d2,4243338,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x1ea4178499814e75c9380b113a6e518eec814a55
0.395,1,0,30.0,0,0,0,0xc63d2be4877dc7b746fe8c8e46e7dbd6c5dca804344232c53552cee2b025e52a,4225638,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x2a85cd57d0fac41629b884c56fafe66bbe890833
5.1824,1,0,30.0,0,0,0,0xe98ace2af818882695a447161eec3550da0085c1c3140be5779837360313b4ed,4225637,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xbf9112b00d3947e086fa8a1d170eaccfb5567144
1.015,1,0,30.0,0,0,0,0x1b14e64dfc038729ab406643606a42c8a76430ed8c4f7a2f97c40b01784e77ee,4225636,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x308dae0f9bee2acb0d94d0150cfab48eb8da0c98
1.595,1,0,30.0,0,0,0,0x6082c42eab993fe89476b3ce7f72e18d575527b3e7ec589b5d2fb019946b8213,4225635,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xf10029ee25053d36f19459c4e7a9918e0211e25f
0.98399814,1,0,30.0,0,0,0,0x0fa7ac82de8b8b599ac4298c90c470151540ded38d55944dea4fc3b7f6b424f0,4225635,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xfbf4589e9b711e90a1ec28775f30a63df524a9cc
4.9951,1,0,30.0,0,0,0,0x5a85c83e988238814d454bda74925a781fd02c29903c6a1c76ee065ef1086a59,4225635,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x811b2733ca24ac8ee05149c19354f0ba2239f71f
0.37095,1,0,30.0,0,0,0,0x44360a922dfa987b1df765ab80ad967d8d83a9b6e34851fce077e81d572433e1,4225634,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xdb15e0cb907bc2be8f63fdecff800a06148593f8
5.77252491,1,0,30.0,0,0,0,0x6815c49887b14d5c624129c9367a7edc2c2712a6f08df9626ee0f5657da31b35,4225630,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x49bef9c78ef70451130f3df4f73fe0c31801e138
11.24091989,1,0,30.0,0,0,0,0x3d5d6ae45bb164df1030082cf1f8c6b8aa0c94c2ea7c419a78969f16a50b9794,4225630,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xa8d93c64886003941a1dd04684993b2a9eaeb98e
0.3227789,1,0,30.0,0,0,0,0xd92ed241667324c0044351f75da44f88d67c552e579d02dda5b75b2871bd5394,4225630,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xac37a41b0ca2949413602b3336959fae099c9f57
2.6740183,1,0,30.0,0,0,0,0xc2b63d856d4edad60b077ebd9c879efdb7ea0599ba47b204349990dc47ba7070,4225630,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xb461ef3d761d87c225722d42233d9892f487f095
0.88191222,1,0,30.0,0,0,0,0xf6d615eb6d000a59f745f4ab01676d25ddd020cf7acdc59056e28260b2077d0a,4225629,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xb5d47ed8c07fe4d9a143fddf967ca8d66562beb3
4.395,1,0,30.0,0,0,0,0x9e4910adc77b8d95bc05d21dadc3a13af9730da267ba759e26d303c83924ab91,4225624,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x0faa5e3b4b4bc7190a187d113c5a82e28bd1b5ce
24.735,1,0,30.0,0,0,0,0x9119c322b2c0e58c9f318f5e09c7b2b32cc9de0eedcb340f5d45b488fcd789c9,4225622,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xc5ae2e40f9e8c21202c0520bab108b9cc3bd4b67
23.995,1,0,30.0,0,0,0,0x7c9ff5b495059bd5c26f6f38bf464da569d4b8fddac24583832b1cf5d0ef8d0f,4225621,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x9214ec02cb71cba0ada6896b8da260736a67ab10
0.03635,0,1,30.0,0,1,0,0xae2b24894ea7b6be5859f5d8adc791e31e4af18e3a868325de10ef7cc8ba3419,4225621,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xdb15e0cb907bc2be8f63fdecff800a06148593f8
0.844,1,0,30.0,0,0,0,0x7dc0760c6ce548733a7e8b0a7903f45ddda523ba79c94d13d54b27d702b63084,4225621,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x1d67ae63bc60f312749fef49aa907236a8121f9e
0.005,1,0,30.0,0,0,0,0xbfbb938ef19563187f470f5b9f55f9478d4af987bbbc1a7ccf5090e3a1b9e126,4225620,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xccc9d3197eeb502cb9179cfb0cb7728fbab282d2
0.005001,1,0,30.0,0,0,0,0xde074328f2f724850b4d18507944f5bd996caf6ea440e939de4b90ef7241500d,4225619,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x96f9caa2b0e2f69698132926d677bc5b94bb5e7c
3.995,1,0,30.0,0,0,0,0x9f662ffa47b6a75f1b2a4c937051804db903b7e95a405b5f3aab810d77a39bb1,4225617,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x1dc32ef8a638f0171d2001a9cdf273ae405353f8
0.005,0,1,30.0,0,1,0,0x87cd36b6191f04f475da164cfdf9689f41b59a2ddfc4d225bd5916758afc081d,4225615,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xccc9d3197eeb502cb9179cfb0cb7728fbab282d2
9.9181247,1,0,30.0,0,0,0,0xddbdb50a914ff6b38d1fa8fe0541bf0bc6b1a7d38590539152ca735647b2f13b,4225615,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x066d2d7a6c5ced975029809fa3ed3abf197811fd
0.21464038,1,0,30.0,0,0,0,0x33b7394dd291ae8e5bc977eb9150cbc7f8595f8cafd8f1dd05dfa50de855b7a4,4225614,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x32bb394469039c8b85ab77f169aadaec051c33fc
4.385,1,0,30.0,0,0,0,0x8bb32a46a39b9a908f8dd80e577972824bd3922453c79b67587f94bea9dfd1a5,4225611,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x4a2b0c6aea66951ef1ffac38bebc17aaffde1ef5
5.995,1,0,30.0,0,0,0,0x6f1488f52c19c8b3077b62f4413e32e1af2eba38b629706f515b464e99ad49be,4225610,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xd9c7c1d6299c1e9e2b903885b4a4411cd4f173d8
0.03635,0,2,30.0,0,1,0,0x6a36698c68b4b29b0cf5dc0caa5a3e4ec1a58c3ffaf1d614f90a309b5adf6587,4225609,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xdb15e0cb907bc2be8f63fdecff800a06148593f8
2.66777,1,0,30.0,0,0,0,0xfb8045acdc1dde488a13abdc683d21712c105374045ae80eb27f761129f3879d,4225609,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xf3f75d442c7662fec9df0caa45f544bbf8c923cc
0.5253,1,0,30.0,0,0,0,0x291d72dd22ed1040e1d0b778cfc8d222d0d5b6dd20b480c11ca4c41e4c8a4c11,4225607,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x453c1ff9a107b4cb3539fe649b9c0141dc4403de
0.138,1,0,30.0,0,0,0,0xfc3574e3b705aaccee9b84a6b54cee6c44cfd8f40c0d9be12c17957b80ea0779,4225607,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x6d1b007f8ea92ea3d316b8b66f2413bdee90ad1f
0.495,1,0,30.0,0,0,0,0x503dc308edbf74f9cdc1f7f5e66841da562a678ed103d3946d2e3d5101b4b5aa,4225606,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x204d72c97a2a24fa0670ec5656cca5ed1b1af8c2
0.18003147,1,0,30.0,0,0,0,0x1c21ca2028b3940c973b2760f98abe3a54e141b53f1dedf69683a5bd22bcceef,4225604,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xab8f6954e7f02a2615b5b1ec7b3e580c81b7d2c3
29.924,1,0,30.0,0,0,0,0xf681a199f599de59cb4925d07fe704cc422504cdcc50f0a7c9fe0df46f801652,4225603,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x91395e8cb46ec8bba2701ecefa768dc1aedfe547
20.26,1,0,30.0,0,0,0,0xb4b66e006ac38ebbce80f2b2af24b5d1fd1e6238d8a6d014d26c9d6a52ce7c05,4225602,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x1d0fb0beed208608bb5f30b28140685f6220da7e
17.1597123,1,0,30.0,0,0,0,0x014bfafc9906735a68711e76b6f93820a7d3931185816b92a5693669df14520d,4225601,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x31c3ff98fe77202a34cc2825e35397822905639e
3.495,1,0,30.0,0,0,0,0xe6ff3547aa1d42794727e265629f8096d315836c30f3df180874a0c8c6f67954,4225600,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x63d249323ea38d2018fd1e85b138020d36822a31
2.995,1,0,30.0,0,0,0,0xc0120ac9d08e09ee04e25b4248c89a5ca0d60f048f644d203dda1841d879329c,4225598,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x6aef1fcacd1ab96a59256a00080e2d0d34b8886d
5.015,1,0,30.0,0,0,0,0x9712b083182a0997127dd01ef29e7e7d66257499a631c521286d0d5f97223b0b,4225596,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x6a5f7386fa69a7ee3327cd4b6f8ddde9699683d6
19.995,1,0,30.0,0,0,0,0x5545a7a9e88dc884fb3c13e4c223ad31db318dc1cded28e4f81c8bda339c921a,4225593,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xc23a57e6fbc9342b70d697d047fe21d30bf447a4
0.145,1,0,30.0,0,0,0,0x6a80d08a110bccc77ee24f13493faf77631b58b4d9c8f180ce1bd35f54a21aec,4225591,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xc8bad1e23a3aa827b9122f90f7a7fee11beee54d
0.34589925,1,0,30.0,0,0,0,0x471a7933f79b36c74ebe0f8e0bee01e999e9d062a3fbda690b0c9a83f1a62723,4225591,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xf67c8c1f51c3deb62c8509780ce07026b3076825
2.298694,1,0,30.0,0,0,0,0xfdba681fc2e27128021143779f6108931d7e35de4b15b80d6e218108b4eb8b4f,4225591,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xf3aa7709dc332c9fb4d1be13689ebf875eb1bf0c
2.58960796,1,0,30.0,0,0,0,0x0151fac7d7fc01e00471ce7fb924b00acdc8240b29d2bc0caae77e689717402b,4225591,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x17c66fce200759f823dc9299ab0180e66ea6cc7c
2.005,1,0,30.0,0,0,0,0xb9ae0c0c4a2174f0efd1180330c98e8b7cb766f06027cd05c88131156c22fdb1,4225587,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x6805062d0e3bf9d9d0cd65b385c97e852eded181
5.603476,1,0,30.0,0,0,0,0x5af9e698d266d74eac4e14ccb4fbc13b00cd1222933f6f74e89383c060d29713,4225583,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xec16da2fc855e3ca08f89293338ca3d873629cdb
3.36619267,1,0,30.0,0,0,0,0x12cd4c06842c821e0817d5ab62d4ebffdd3e83265c915c2bc5d94a365882c583,4225582,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x2a6b026b9017aa95d72751b229adc143626ff83c
0.273611,1,0,30.0,0,0,0,0xcd06b201834a970ba3f0d2ccb2dad09ec59f3211c4f7a70f84c7f82de378523b,4225579,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x3aa38f8393d88543caaf9c3b428865fc6b80b721
2.095,1,0,30.0,0,0,0,0xa33cf4fc83defc842ab97838d895c0ceb1b49d3df2139b2e6d98781f35c5d9ed,4225578,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x24ab429905c67dbcf75552248df597984505b129
22.995,1,0,30.0,0,0,0,0x7848f627b5f3e4a3048af48d1b045fb9577e5a88c23cdec4233be81282916c43,4225575,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x8967750536ec6da067fa20d3287d812670b2c06e
0.505,1,0,30.0,0,0,0,0x73058e56c72200b3b8513393a783f8002db57fdf3c632fcafc1e11a5d79b0f72,4225565,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x659674ff21cf38c2bf4fd8f6b674a47222c177d0
9.84015287,1,0,30.0,0,0,0,0x8331586c2a1d1416faf154b6877cf890f5df62f4ac5434030dcad7e91814a01c,4225565,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xc503f3e352de82cfffc3fb6d1182658009b66e4b
22.04391445,1,0,30.0,0,0,0,0x65c23aec3ae06f3d64fe8f408c42b23daef267cb69a23c5ee9d09da2055816e8,4225562,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x858e353ae50108d4feab80f598386cebc24bb196
0.11698979,1,0,30.0,0,0,0,0xfd3fb19b14c04a274dcd9f877b9085979977d311cf22e9e20c0a761c33096ead,4225560,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x5c5c38458f4d23d6ffd0541ce784435f4b6d3215
0.396,1,0,30.0,0,0,0,0xcb69890a03dfaf0c475511117710359f3f0443d732bf22ace6af1ac6ecd731c6,4225560,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xf03af1891534c133d7847241a60840fadcfa442d
8.60028,1,0,30.0,0,0,0,0x3c38f5a8a95a98741428a7b92579f3f5188418a962a7ac8ceac71a57026aacd9,4225559,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xa62bfe51b5617a7e28a6db97f8d698ac95394058
0.39739188,1,0,30.0,0,0,0,0xfcfdcd7e6ddd33355af4e6ef5411bfd04f0743f7b8f8c23b121b9289c28e90b6,4225557,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x171fe646355fd449e3d1814fb74e4c7a63810457
0.265,1,0,30.0,0,0,0,0x4053434ced8b6e4418e3ae03147776f9b29b1321e7bb6d8823c78c60ae7fa4ca,4225557,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x2777a74d81b2b7e84b57b07d952791b4f215a933
9.805,1,0,30.0,0,0,0,0xc4cff0272b592a79b5c5e684d2014c680eada04b2b6fe7f9fe16d76176590979,4225554,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xcb2ecc072b020718b15b07bb0381488a9df0b4b2
0.265,1,0,30.0,0,0,0,0x07aa3c0574e8cad31e500c17955312e7ec975c8b9e21a0dce550ee52a4cfc7ef,4225543,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xdc8b049228a271693f08e1e94daf642411592b57
0.984,1,0,30.0,0,0,0,0x27c360a6444c678757054293778feb1cc0e26d4044913f12dc48cf6aa7155dfd,4225542,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x71cfd7f5bed7310e32211fa9af7748df45e11f9c
1.0,1,0,30.0,0,0,0,0xfb71d5bf770891011125a7645b0094299315c4697c1b1c628cc4d635a62732c3,4225541,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x2e4a012a39f478181c95ab4bbb7af53194e9fd2c
1.64262556,1,0,30.0,0,0,0,0xd70a92d968557d1902b0e34f3b259d1e7551a46c2bac4fece5388147e5f34c71,4225538,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x60ba6c590883ab3c06289eff076f96b80065e3f5
1.26532164,1,0,30.0,0,0,0,0xbe4a7f72091b2f9a204f7a9c166563ff04b6ad8d4f604f90dacffe405e88e989,4225536,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x167425100874f618ffe82ec94a6d4007f39ba924
1.294,1,0,30.0,0,0,0,0x340155c4ff8ee720c18ea1af60eba9df667c328bac4261d1a8dd7a15c607c1eb,4225535,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xdc6f6d2f907531fe05eb0eafd0af2d22d750361d
0.005,1,0,30.0,0,0,0,0xeaab2d3b926691ce23d2dde3b257f4f907ea0139633771bd45a6d56ce8434e57,4225534,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x1684f6939adce8269c2c8e2a3f8dbf632d82ec75
1.07905124,1,0,30.0,0,0,0,0x7512d67650505a89d039758f945adb06b38f5601896743926bb37a8e847320d0,4225527,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x4c72242d66fd217d706f1c0c97d7ea79711e332c
2.495,1,0,30.0,0,0,0,0x709e7dad11ba16edc5ab938595cc3b9e7cd9543509e06cb95120dbcb5e831d8a,4225525,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xeec36f7de63d3b9ba3d414fd5955a2468a74aee2
4.718272,1,0,30.0,0,0,0,0x1d5bacabc70fab9ad98c25cd0adc880e5b14c85db137d3bfbf115f2b739d9230,4225523,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x8e9d14f2e7a9aa1c8eff20c14beeaf73bddff274
